Serial No,Event Date,Abstract Text,Nature of Injury
951,2/13/2017,"At approximately 10:00 p.m. on February 13, 2017, Employee #1 was preparing to switch a tote. As he switched the tote, he punctured the tote. An unknown substance poured out the tote and onto Employee #1. The material caused chemical burns on unspecified locations of Employee #1s body. Employee #1 was transported to a medical center, where he received treatment for his chemical burns and was then hospitalized. ",Chemical Burn
952,2/13/2017,"At approximately 10:15 p.m. on February 13, 2017, Employee #1 needed to replace an empty product roll on a production line. A polyester rope and pulley system was used in lifting and removing the empty product roll. As he lifted the empty roll with the polyester rope, the rope became entangled in the pulley machine. His hand was pulled down into the system and the rope amputated his finger. Employee #1 received medical treatment on his amputated finger. ","Amputation, Crushing"
953,2/13/2017,"At 10:00 a.m. on February 13, 2017, Employee #1 was working off of a platform that was five feet off of the ground. The employee fell off of the platform and landed on a riding lawn mower that was on the ground below. His foot got caught in the steering wheel of the mower, and his ankle was severely broken. Employee #1 was hospitalized for four nights. ","Fracture, Broken Bones"
954,2/13/2017,"At 10:30 a.m. on February 13, 2017, Employee #1 was operating a mechanical cable puller. The employee's finger became caught between the cable and pulley, severing his left index finger.It is not known whether the employee was hospitalized for his injury or not. zed for his injury or not.","Amputation, Crushing"
955,2/13/2017,"At approximately 9:50 a.m. on February 13, 2017, Employee #1 needed to change a battery in an emergency light fixture. He leaned an extension ladder against bottled water crates instead of directly against the wall. The ladder was also not fully extended as its top portion contacted the wall. Employee #1 then climbed the ladder. While he was on the ladder, it slipped down from the wall. Employee #1 rode the ladder down as it fell. He struck his head against a concrete floor and his body impacted the ladder. Employee #1 sustained unspecified injuries in the fall. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized. ",Head Trauma
956,2/13/2017,"At approximately 9:15 p.m. on February 13, 2017, Employee #1 was driving an industrial powered reach truck. The truck suddenly lost power. When the power returned, the reach truck veered to the left and struck an oncoming reach truck. Employee #1 suffered a leg amputation in the collision. Employee #1 was transported to a medical center, where he received treatment and was then released. ","Amputation, Crushing"
957,2/13/2017,"At approximately 9:15 a.m. on February 13, 2017, Employee #1 was practicing rescue climber training, when he lost grip and fell 35 ft, striking a lower level. He sustained a fracture right femur and compressed spine in the fall. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized. ","Fracture, Broken Bones"
958,2/13/2017,"At approximately 9:00 p.m. on February 13, 2017, Employee #1 was operating a cheese cutter (Make Identification General Machinery and Model Number 3010) and loading the cheese cutter with blocks of cheese. The machines tensioned wires cut the block of cheese. The cheese blocks were pushed through the wires by rams which move the block vertically, and then horizontally. The ram that moved the cheese blocks was pneumatically operated at 80 PSI. While operating the cheese cutter, his left hand was caught in between a cheese block and cutting wire, where his sustained a partial amputation at the knuckle of his left ring finger, while the block was being cut in the horizontal direction. The cheese cutter guard, which prevented access to the point of operation, had been removed. The reason his hand was in or around the point of operation was to hold the cheese block in place because the cheese blocks were not holding their shape during the horizontal cut portion of the process. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized. ","Amputation, Crushing"
959,2/13/2017,"At approximately 8:30 a.m. on February 13, 2017, Employee #1 was on a hill of silage, a stored fodder for livestock, and pulling its tarp cover. As he pulled the tarp, he lost his footing, slipped, and fell over the edge of silage pile. He struck the ground and sustained fractured ribs as well as a shoulder and spine injury. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized. ","Fracture, Broken Bones"
960,2/13/2017,"At 7:45 a.m. on February 13, 2017, Employee #1 was planing a board using a joiner machine. The employee's left hand slipped and inadvertently moved the machine guard.  His left pinky finger came in contact with the sharp blade and was amputated to just above the bottom knuckle. ","Amputation, Crushing"
961,2/13/2017,"At approximately 5:00 p.m. on February 13, 2017, Employee #1 was operating a Biro meat saw (Model Number 1433) and was slicing through a whole country ham that weighed approximately 13 pounds. He used the meat saw to slice the ham into half-inch slices. As he was feeding the ham through the meat saws blade for another cut, Employee #1 struck his left thumb against the blade and sustained a partial amputation of the left thumb above the first joint. Employee #1 was transported to a medical center, where he received treatment and was then released. ","Amputation, Crushing"
962,2/13/2017,"At approximately 5:45 a.m. on February 13, 2017, Employee #1 was working a sheet metal piece. He needed to complete another bend in the piece and rotated it. His right middle finger was caught in a pinch point between a worktable and the sheet metal piece that amputated the fingertip. Employee #1 was transported to a medical center, where he received treatment and was then released. ","Amputation, Crushing"
